GeoType,NTAType,GeogName,GeoID,Borough,Pop_1E_TotalPop,MdHHIncE,MdEarningperWrkE,Hsp1E,Hsp1P-Hispanic,WtNHE,WtNHPWhite,BlNHE,BlNHP-Black,AIANNHE,AIANNHP-Am-Ind,AsnNHE,AsnNHP-Asian,NHPINHE,NHPINHP-NatHawaii-Pac-Is,OthNHE,OthNHP-Other,Rc2plNHE,Rc2plNHP-2more,EA_Pop25olderplE,EA_HScGrdE,EA_HScGrdP,EA_BchDHE,EA_BachandHigherDHP
NTA2020,0,Greenpoint,BK0101,Brooklyn,"37,518",111887,"66,034","5,498",14.7,"27,273",72.7,937,2.5,22,0.1,"1,464",3.9,0,,210,0.6,"2,114",5.6,"30,752","4,446",14.5,"19,369",63
NTA2020,0,Williamsburg,BK0102,Brooklyn,"63,316",120986,"71,125","18,908",29.9,"34,827",55,"1,395",2.2,11,0,"4,905",7.7,0,,248,0.4,"3,022",4.8,"47,384","6,721",14.2,"29,421",62.1
NTA2020,0,South Williamsburg,BK0103,Brooklyn,"47,065",32704,"21,915","3,957",8.4,"40,619",86.3,"1,571",3.3,0,,237,0.5,0,,264,0.6,417,0.9,"18,556","7,312",39.4,"2,712",14.6
NTA2020,0,East Williamsburg,BK0104,Brooklyn,"53,478",66540,"50,269","20,099",37.6,"20,302",38,"6,439",12,58,0.1,"4,865",9.1,0,,172,0.3,"1,543",2.9,"39,348","7,230",18.4,"17,262",43.9
NTA2020,0,Brooklyn Heights,BK0201,Brooklyn,"24,775",171607,"100,000","1,722",7,"18,465",74.5,"1,337",5.4,78,0.3,"1,846",7.5,0,,73,0.3,"1,254",5.1,"18,637",698,3.7,"16,111",86.4
NTA2020,0,Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,Brooklyn,"38,546",130750,"88,685","6,002",15.6,"18,001",46.7,"5,868",15.2,39,0.1,"6,764",17.5,26,0.1,192,0.5,"1,654",4.3,"28,523","3,262",11.4,"20,587",72.2
NTA2020,0,Fort Greene,BK0203,Brooklyn,"35,051",92474,"60,655","5,635",16.1,"11,964",34.1,"10,579",30.2,193,0.6,"3,771",10.8,0,,410,1.2,"2,499",7.1,"25,348","3,353",13.2,"14,555",57.4
NTA2020,0,Clinton Hill,BK0204,Brooklyn,"27,368",107899,"68,931","3,659",13.4,"12,812",46.8,"7,539",27.5,14,0.1,"1,949",7.1,0,,105,0.4,"1,290",4.7,"20,720","1,836",8.9,"14,948",72.1
NTA2020,0,Bedford-Stuyvesant (West),BK0301,Brooklyn,"89,224",68009,"45,050","17,365",19.5,"33,954",38.1,"31,086",34.8,57,0.1,"3,286",3.7,22,0,197,0.2,"3,257",3.7,"58,440","12,200",20.9,"26,959",46.1
NTA2020,0,Bedford-Stuyvesant (East),BK0302,Brooklyn,"92,298",65789,"44,834","15,285",16.6,"14,299",15.5,"55,966",60.6,81,0.1,"2,832",3.1,21,0,189,0.2,"3,625",3.9,"65,736","18,720",28.5,"25,929",39.4
NTA2020,0,Bushwick (West),BK0401,Brooklyn,"55,156",79378,"40,130","29,472",53.4,"16,517",29.9,"3,134",5.7,113,0.2,"4,056",7.4,15,0,464,0.8,"1,385",2.5,"40,311","7,667",19,"17,504",43.4
NTA2020,0,Bushwick (East),BK0402,Brooklyn,"62,987",58615,"36,420","31,599",50.2,"10,598",16.8,"15,746",25,76,0.1,"2,619",4.2,1,0,930,1.5,"1,418",2.3,"43,067","11,071",25.7,"12,206",28.3
NTA2020,0,Cypress Hills,BK0501,Brooklyn,"42,755",56443,"36,443","29,889",69.9,"1,804",4.2,"7,783",18.2,46,0.1,"1,883",4.4,7,0,548,1.3,795,1.9,"27,890","12,074",43.3,"4,324",15.5
NTA2020,0,East New York (North),BK0502,Brooklyn,"44,841",49140,"33,608","15,425",34.4,981,2.2,"25,051",55.9,38,0.1,"1,488",3.3,0,,253,0.6,"1,605",3.6,"28,122","12,130",43.1,"3,924",14
NTA2020,0,East New York-New Lots,BK0503,Brooklyn,"52,314",45249,"35,319","12,724",24.3,961,1.8,"36,401",69.6,29,0.1,733,1.4,27,0.1,715,1.4,724,1.4,"34,656","13,720",39.6,"5,650",16.3
NTA2020,0,Spring Creek-Starrett City,BK0504,Brooklyn,"15,917",33309,"37,820","2,479",15.6,"2,460",15.5,"9,950",62.5,0,,438,2.8,0,,142,0.9,448,2.8,"11,388","4,725",41.5,"2,298",20.2
NTA2020,0,East New York-City Line,BK0505,Brooklyn,"48,572",37521,"32,893","12,605",26,"1,341",2.8,"28,313",58.3,11,0,"4,566",9.4,140,0.3,541,1.1,"1,055",2.2,"30,034","15,177",50.5,"4,074",13.6
NTA2020,0,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,BK0601,Brooklyn,"63,167",116386,"73,501","11,423",18.1,"34,594",54.8,"9,340",14.8,64,0.1,"3,540",5.6,653,1,611,1,"2,942",4.7,"45,343","5,254",11.6,"29,996",66.2
NTA2020,0,Park Slope,BK0602,Brooklyn,"60,202",174224,"91,335","7,391",12.3,"41,075",68.2,"3,000",5,40,0.1,"5,278",8.8,13,0,268,0.4,"3,137",5.2,"45,327","2,187",4.8,"37,084",81.8
NTA2020,0,Windsor Terrace-South Slope,BK0701,Brooklyn,"27,023",121706,"76,216","3,841",14.2,"18,575",68.7,689,2.5,0,,"2,626",9.7,0,,173,0.6,"1,119",4.1,"19,841","2,515",12.7,"13,943",70.3
NTA2020,0,Sunset Park (West),BK0702,Brooklyn,"53,050",75881,"38,542","30,625",57.7,"12,570",23.7,"2,217",4.2,19,0,"6,066",11.4,19,0,151,0.3,"1,383",2.6,"36,865","7,869",21.3,"12,653",34.3
NTA2020,0,Sunset Park (Central),BK0703,Brooklyn,"46,012",55880,"26,200","14,952",32.5,"4,335",9.4,979,2.1,219,0.5,"24,983",54.3,0,,88,0.2,456,1,"31,661","7,168",22.6,"6,173",19.5
NTA2020,0,Prospect Heights,BK0801,Brooklyn,"24,082",136840,"79,107","2,116",8.8,"13,646",56.7,"4,794",19.9,4,0,"1,758",7.3,0,,43,0.2,"1,721",7.1,"19,475","1,537",7.9,"14,674",75.3
NTA2020,0,Crown Heights (North),BK0802,Brooklyn,"87,451",61171,"45,006","11,937",13.6,"18,542",21.2,"49,596",56.7,143,0.2,"2,770",3.2,0,,720,0.8,"3,743",4.3,"64,596","14,450",22.4,"27,002",41.8
NTA2020,0,Crown Heights (South),BK0901,Brooklyn,"51,880",62324,"37,021","5,435",10.5,"16,149",31.1,"28,711",55.3,0,,489,0.9,0,,371,0.7,725,1.4,"35,163","8,352",23.8,"12,815",36.4
NTA2020,0,Prospect Lefferts Gardens-Wingate,BK0902,Brooklyn,"48,477",63625,"44,873","4,087",8.4,"11,982",24.7,"28,690",59.2,17,0,"1,539",3.2,0,,292,0.6,"1,870",3.9,"36,245","8,907",24.6,"14,573",40.2
NTA2020,0,Bay Ridge,BK1001,Brooklyn,"85,796",82811,"53,510","16,912",19.7,"50,351",58.7,"2,730",3.2,83,0.1,"13,135",15.3,14,0,306,0.4,"2,265",2.6,"63,331","11,947",18.9,"31,367",49.5
NTA2020,0,Dyker Heights,BK1002,Brooklyn,"43,548",67470,"32,661","5,807",13.3,"17,638",40.5,628,1.4,105,0.2,"18,895",43.4,0,,32,0.1,443,1,"31,173","9,022",28.9,"10,364",33.2
NTA2020,0,Bensonhurst,BK1101,Brooklyn,"102,241",58505,"30,228","18,472",18.1,"38,963",38.1,576,0.6,566,0.6,"40,663",39.8,0,,396,0.4,"2,605",2.5,"72,300","17,866",24.7,"22,195",30.7
NTA2020,0,Bath Beach,BK1102,Brooklyn,"33,765",67951,"41,689","5,137",15.2,"14,995",44.4,765,2.3,12,0,"11,154",33,3,0,43,0.1,"1,656",4.9,"23,483","5,777",24.6,"8,478",36.1
NTA2020,0,Gravesend (West),BK1103,Brooklyn,"60,810",64136,"35,375","7,835",12.9,"23,937",39.4,958,1.6,46,0.1,"25,894",42.6,0,,324,0.5,"1,816",3,"42,647","12,024",28.2,"13,444",31.5
